MainID,Rogers et al. chaos tests,,,Determinism tests,,,Adjusted probability of chaos
,LE,RQA,PE,NPE,NPE class,KDE class,
1,not chaotic,not chaotic,chaotic,0.6910312,deterministic,stochastic,0.154066
56,not chaotic,not chaotic,chaotic,0.1155321,stochastic,stochastic,0.0128419
57,not chaotic,not chaotic,chaotic,NaN,NaN,deterministic,0.3456198
58,not chaotic,chaotic,chaotic,NaN,NaN,deterministic,0.857518
59,not chaotic,not chaotic,not chaotic,NaN,NaN,NaN,0.03914069
60,not chaotic,chaotic,not chaotic,NaN,NaN,stochastic,0.1379763
61,not chaotic,chaotic,chaotic,0.3815755,stochastic,deterministic,0.3006444
64,not chaotic,not chaotic,chaotic,NaN,NaN,stochastic,0.154066
65,not chaotic,not chaotic,not chaotic,NaN,NaN,NaN,0.03914069
1150,not chaotic,not chaotic,chaotic,-0.3541412,stochastic,stochastic,0.0128419
1153,not chaotic,not chaotic,chaotic,NaN,NaN,NaN,0.3456198
1154,not chaotic,chaotic,not chaotic,-0.9824252,stochastic,stochastic,0.01130369
1155,not chaotic,chaotic,chaotic,NaN,NaN,NaN,0.857518
1157,not chaotic,not chaotic,not chaotic,0.567366,stochastic,stochastic,0.001002322
1158,not chaotic,not chaotic,chaotic,NaN,NaN,stochastic,0.154066
1159,not chaotic,not chaotic,not chaotic,-0.8737433,stochastic,stochastic,0.001002322
1161,not chaotic,not chaotic,not chaotic,NaN,NaN,deterministic,0.03914069
1162,not chaotic,not chaotic,chaotic,0.09360174,stochastic,stochastic,0.0128419
1163,not chaotic,not chaotic,chaotic,0.2249492,stochastic,stochastic,0.0128419
1166,not chaotic,chaotic,not chaotic,0.2790034,stochastic,deterministic,0.03209148
1169,not chaotic,not chaotic,chaotic,0.5116851,stochastic,stochastic,0.0128419
1170,not chaotic,not chaotic,not chaotic,NaN,NaN,deterministic,0.03914069
1173,not chaotic,not chaotic,chaotic,0.1995236,stochastic,deterministic,0.03635446
1176,not chaotic,not chaotic,not chaotic,-0.28586,stochastic,stochastic,0.001002322
1178,not chaotic,chaotic,chaotic,-0.3926612,stochastic,stochastic,0.0128419
1179,not chaotic,not chaotic,not chaotic,0.7992323,deterministic,deterministic,0.03914069
1180,not chaotic,not chaotic,not chaotic,-0.03255079,stochastic,deterministic,0.002901208
1181,not chaotic,chaotic,not chaotic,NaN,NaN,deterministic,0.3170224
1182,not chaotic,not chaotic,not chaotic,-0.8468195,stochastic,deterministic,0.002901208
1183,not chaotic,not chaotic,not chaotic,0.7406974,deterministic,deterministic,0.03914069
1184,not chaotic,not chaotic,chaotic,-0.3048614,stochastic,stochastic,0.0128419
1187,not chaotic,not chaotic,not chaotic,-0.258973,stochastic,deterministic,0.002901208
1188,chaotic,not chaotic,not chaotic,0.5474594,stochastic,stochastic,0.4332313
1189,not chaotic,not chaotic,not chaotic,0.7833912,deterministic,stochastic,0.01385201
1211,not chaotic,not chaotic,chaotic,-0.8010952,stochastic,deterministic,0.03635446
1213,not chaotic,not chaotic,chaotic,-1.587885,stochastic,stochastic,0.0128419
1347,chaotic,chaotic,not chaotic,NaN,NaN,NaN,0.9646323
1869,not chaotic,not chaotic,chaotic,0.1947874,stochastic,deterministic,0.03635446
2721,not chaotic,not chaotic,chaotic,0.5562465,stochastic,stochastic,0.0128419
2722,not chaotic,not chaotic,not chaotic,0.6801456,deterministic,deterministic,0.03914069
2726,not chaotic,not chaotic,not chaotic,-0.2341112,stochastic,stochastic,0.001002322
2759,not chaotic,not chaotic,not chaotic,-0.6828032,stochastic,stochastic,0.001002322
2770,not chaotic,not chaotic,not chaotic,-0.2395613,stochastic,stochastic,0.001002322
2771,not chaotic,not chaotic,chaotic,-0.7959109,stochastic,NaN,0.03635446
2772,not chaotic,chaotic,not chaotic,NaN,NaN,deterministic,0.3170224
2773,not chaotic,chaotic,chaotic,NaN,NaN,NaN,0.857518
2775,not chaotic,chaotic,not chaotic,NaN,NaN,NaN,0.3170224
2777,not chaotic,chaotic,chaotic,NaN,NaN,NaN,0.857518
5019,not chaotic,not chaotic,chaotic,0.9485615,deterministic,deterministic,0.3456198
5020,not chaotic,not chaotic,chaotic,NaN,NaN,stochastic,0.154066
5021,not chaotic,not chaotic,not chaotic,-2.324039,stochastic,stochastic,0.001002322
5037,not chaotic,chaotic,chaotic,0.7983171,deterministic,stochastic,0.6748306
5039,not chaotic,not chaotic,not chaotic,0.2756185,stochastic,NaN,0.002901208
5040,chaotic,chaotic,chaotic,0.1204086,stochastic,deterministic,0.9619187
5043,chaotic,chaotic,not chaotic,NaN,NaN,NaN,0.9646323
5044,not chaotic,chaotic,chaotic,NaN,NaN,deterministic,0.857518
6104,not chaotic,chaotic,chaotic,-0.1915255,stochastic,deterministic,0.3006444
6105,not chaotic,chaotic,chaotic,-2.838839,stochastic,deterministic,0.3006444
6106,not chaotic,chaotic,chaotic,-0.06819659,stochastic,deterministic,0.3006444
6107,not chaotic,chaotic,chaotic,-0.3605144,stochastic,deterministic,0.3006444
6109,not chaotic,not chaotic,chaotic,0.01446779,stochastic,deterministic,0.03635446
6110,not chaotic,chaotic,not chaotic,-0.005397478,stochastic,deterministic,0.03209148
6111,not chaotic,not chaotic,chaotic,-0.06814886,stochastic,deterministic,0.03635446
6112,not chaotic,not chaotic,chaotic,NaN,NaN,deterministic,0.3456198
6114,not chaotic,not chaotic,chaotic,0.2473754,stochastic,deterministic,0.03635446
6115,not chaotic,chaotic,chaotic,0.197371,stochastic,deterministic,0.3006444
6116,not chaotic,not chaotic,chaotic,0.3300696,stochastic,deterministic,0.03635446
6117,not chaotic,chaotic,chaotic,0.1723453,stochastic,deterministic,0.3006444
6118,not chaotic,not chaotic,chaotic,0.04868026,stochastic,deterministic,0.03635446
6119,not chaotic,not chaotic,chaotic,0.08823016,stochastic,deterministic,0.03635446
6120,not chaotic,chaotic,chaotic,0.00521614,stochastic,deterministic,0.3006444
6121,not chaotic,chaotic,not chaotic,-0.3264048,stochastic,deterministic,0.03209148
6122,not chaotic,chaotic,chaotic,-2.181932,stochastic,deterministic,0.3006444
6125,chaotic,chaotic,not chaotic,0.2394064,stochastic,deterministic,0.146005
6126,not chaotic,not chaotic,chaotic,0.7897696,deterministic,deterministic,0.3456198
6127,not chaotic,chaotic,not chaotic,-0.8268578,stochastic,deterministic,0.03209148
6128,not chaotic,chaotic,not chaotic,0.01065508,stochastic,deterministic,0.03209148
6129,not chaotic,not chaotic,not chaotic,-0.02265034,stochastic,stochastic,0.001002322
6130,chaotic,chaotic,not chaotic,-0.4753217,stochastic,deterministic,0.146005
6131,not chaotic,chaotic,chaotic,0.07212209,stochastic,deterministic,0.3006444
6132,not chaotic,not chaotic,not chaotic,0.137494,stochastic,deterministic,0.002901208
6133,not chaotic,not chaotic,chaotic,0.5976137,stochastic,deterministic,0.03635446
6134,not chaotic,not chaotic,chaotic,0.2835033,stochastic,deterministic,0.03635446
6135,not chaotic,chaotic,chaotic,0.3427232,stochastic,deterministic,0.3006444
6136,not chaotic,not chaotic,chaotic,0.3160343,stochastic,deterministic,0.03635446
6138,not chaotic,chaotic,not chaotic,-0.1600428,stochastic,deterministic,0.03209148
6139,not chaotic,not chaotic,not chaotic,0.07243007,stochastic,deterministic,0.002901208
6140,not chaotic,chaotic,not chaotic,-0.09673385,stochastic,deterministic,0.03209148
6141,chaotic,not chaotic,not chaotic,-0.07785667,stochastic,deterministic,0.146005
6524,chaotic,chaotic,not chaotic,0.05858055,stochastic,deterministic,0.146005
6525,not chaotic,chaotic,not chaotic,0.1046642,stochastic,deterministic,0.03209148
6528,not chaotic,chaotic,not chaotic,-0.4288477,stochastic,deterministic,0.03209148
