id,model,length,noise.level,classification,0-1 test,NPE,KDE class,CDTA class
1,logisticMap,25,0,chaotic,1,0.972086481,deterministic,stochastic
2,logisticMap,25,0.001,chaotic,1,0.951817588,deterministic,stochastic
3,logisticMap,25,0.01,chaotic,1,0.964123429,deterministic,stochastic
4,logisticMap,25,1,chaotic,1,0.777164219,deterministic,stochastic
5,logisticMap,50,0,chaotic,0.995750603,0.974571882,deterministic,stochastic
6,logisticMap,50,0.001,chaotic,0.997227966,0.982488519,deterministic,stochastic
7,logisticMap,50,0.01,chaotic,0.995256622,0.980366158,deterministic,stochastic
8,logisticMap,50,1,chaotic,0.992197016,0.972487663,deterministic,chaotic
9,logisticMap,75,0,chaotic,0.992505971,0.97522627,deterministic,stochastic
10,logisticMap,75,0.001,chaotic,0.992752564,0.993434239,deterministic,stochastic
11,logisticMap,75,0.01,chaotic,0.960966182,0.996052582,deterministic,stochastic
12,logisticMap,75,1,chaotic,0.993687582,0.991502089,deterministic,chaotic
13,logisticMap,100,0,chaotic,0.988272672,0.994183957,deterministic,stochastic
14,logisticMap,100,0.001,chaotic,0.995316739,0.994748704,deterministic,chaotic
15,logisticMap,100,0.01,chaotic,0.992174214,0.997006499,deterministic,chaotic
16,logisticMap,100,1,chaotic,0.981516974,0.982155187,deterministic,stochastic
17,logisticMap,250,0,chaotic,0.99653715,0.998924031,deterministic,chaotic
18,logisticMap,250,0.001,chaotic,0.993497919,0.999673675,deterministic,chaotic
19,logisticMap,250,0.01,chaotic,0.996446575,0.999402538,deterministic,chaotic
20,logisticMap,250,1,chaotic,0.998221793,0.999335619,deterministic,chaotic
21,henonMap,25,0,chaotic,1,0.960333338,stochastic,stochastic
22,henonMap,25,0.001,chaotic,1,0.818909351,stochastic,stochastic
23,henonMap,25,0.01,chaotic,1,0.425016439,deterministic,stochastic
24,henonMap,25,1,chaotic,1,0.852839617,deterministic,stochastic
25,henonMap,50,0,chaotic,0.98839767,0.817672853,deterministic,stochastic
26,henonMap,50,0.001,chaotic,0.990065773,0.904222722,deterministic,stochastic
28,henonMap,50,1,chaotic,0.986936358,0.82897733,deterministic,chaotic
29,henonMap,75,0,chaotic,0.989501545,0.895170978,deterministic,stochastic
30,henonMap,75,0.001,chaotic,0.987991175,0.887805123,deterministic,chaotic
31,henonMap,75,0.01,chaotic,0.985528307,0.974194719,deterministic,stochastic
32,henonMap,75,1,chaotic,0.987899388,0.964546888,deterministic,chaotic
33,henonMap,100,0,chaotic,0.985812614,0.978943181,deterministic,chaotic
34,henonMap,100,0.001,chaotic,0.9888081,0.9851738,deterministic,chaotic
35,henonMap,100,0.01,chaotic,0.992468584,0.976639816,deterministic,chaotic
36,henonMap,100,1,chaotic,0.988306821,0.959374875,deterministic,chaotic
37,henonMap,250,0,chaotic,0.996092388,0.986897913,deterministic,chaotic
38,henonMap,250,0.001,chaotic,0.998879773,0.991163426,deterministic,chaotic
39,henonMap,250,0.01,chaotic,0.995464052,0.98663796,deterministic,chaotic
40,henonMap,250,1,chaotic,0.992811591,0.98956643,deterministic,chaotic
41,freitasMap,25,0,nonlinear_stochastic,1,-0.21377607,stochastic,stochastic
42,freitasMap,25,0.001,nonlinear_stochastic,1,0.145020585,stochastic,stochastic
43,freitasMap,25,0.01,nonlinear_stochastic,1,-1.513772281,stochastic,stochastic
44,freitasMap,25,1,nonlinear_stochastic,1,-0.148277173,stochastic,stochastic
45,freitasMap,50,0,nonlinear_stochastic,0.991894924,0.217554189,stochastic,stochastic
46,freitasMap,50,0.001,nonlinear_stochastic,0.957045397,0.393809319,stochastic,stochastic
47,freitasMap,50,0.01,nonlinear_stochastic,0.997630448,-0.050981295,stochastic,stochastic
48,freitasMap,50,1,nonlinear_stochastic,0.996356196,-0.378300967,stochastic,stochastic
49,freitasMap,75,0,nonlinear_stochastic,0.994977522,0.025803548,stochastic,stochastic
50,freitasMap,75,0.001,nonlinear_stochastic,0.972777337,0.130491572,stochastic,stochastic
51,freitasMap,75,0.01,nonlinear_stochastic,0.998349986,-0.567414951,stochastic,stochastic
52,freitasMap,75,1,nonlinear_stochastic,0.989802843,-0.205133158,deterministic,stochastic
53,freitasMap,100,0,nonlinear_stochastic,0.995003776,0.027045571,stochastic,stochastic
54,freitasMap,100,0.001,nonlinear_stochastic,0.996051483,-0.399542309,stochastic,stochastic
55,freitasMap,100,0.01,nonlinear_stochastic,0.997658962,-0.236947144,stochastic,stochastic
56,freitasMap,100,1,nonlinear_stochastic,0.997947931,-0.124041303,stochastic,stochastic
57,freitasMap,250,0,nonlinear_stochastic,0.997893855,0.291187284,stochastic,stochastic
58,freitasMap,250,0.001,nonlinear_stochastic,0.995658542,0.09170593,stochastic,stochastic
59,freitasMap,250,0.01,nonlinear_stochastic,0.999269236,0.149525133,stochastic,stochastic
60,freitasMap,250,1,nonlinear_stochastic,0.995376058,0.025267408,deterministic,stochastic
61,sineMap,25,0,nonlinear_stochastic,1,0.998035011,deterministic,stochastic
62,sineMap,25,0.001,nonlinear_stochastic,1,0.999999965,deterministic,stochastic
63,sineMap,25,0.01,nonlinear_stochastic,1,0.999999997,deterministic,periodic
64,sineMap,25,1,nonlinear_stochastic,1,0.857471711,stochastic,stochastic
65,sineMap,50,0,nonlinear_stochastic,0.495846253,0.643674455,stochastic,chaotic
66,sineMap,50,0.001,nonlinear_stochastic,0.408149281,1,stochastic,chaotic
67,sineMap,50,0.01,nonlinear_stochastic,0.456869828,1,stochastic,chaotic
68,sineMap,50,1,nonlinear_stochastic,0.829804815,0.999999978,stochastic,chaotic
69,sineMap,75,0,nonlinear_stochastic,0.279892451,0.997871538,stochastic,chaotic
70,sineMap,75,0.001,nonlinear_stochastic,0.227598176,NA,stochastic,chaotic
71,sineMap,75,0.01,nonlinear_stochastic,0.299403105,NA,stochastic,chaotic
72,sineMap,75,1,nonlinear_stochastic,0.533029564,0.67246032,stochastic,chaotic
73,sineMap,100,0,nonlinear_stochastic,0.178214159,NA,stochastic,chaotic
74,sineMap,100,0.001,nonlinear_stochastic,0.171551094,NA,stochastic,chaotic
75,sineMap,100,0.01,nonlinear_stochastic,0.155788754,NA,stochastic,periodic
76,sineMap,100,1,nonlinear_stochastic,0.172988651,NA,stochastic,chaotic
77,sineMap,250,0,nonlinear_stochastic,0.377050513,NA,stochastic,periodic
78,sineMap,250,0.001,nonlinear_stochastic,0.112970464,NA,stochastic,periodic
79,sineMap,250,0.01,nonlinear_stochastic,0.444419713,NA,stochastic,periodic
80,sineMap,250,1,nonlinear_stochastic,0.272700856,NA,stochastic,chaotic
81,cubicMap,25,0,nonlinear_periodic,1,0.907368188,stochastic,stochastic
82,cubicMap,25,0.001,nonlinear_periodic,1,0.283288528,stochastic,periodic
83,cubicMap,25,0.01,nonlinear_periodic,1,0.65257579,stochastic,stochastic
84,cubicMap,25,1,nonlinear_periodic,1,0.327476448,NA,stochastic
85,cubicMap,50,0,nonlinear_periodic,0.996711825,0.784325942,stochastic,stochastic
86,cubicMap,50,0.001,nonlinear_periodic,0.989158419,0.786495071,stochastic,periodic
87,cubicMap,50,0.01,nonlinear_periodic,0.987242661,0.618175131,stochastic,periodic
88,cubicMap,50,1,nonlinear_periodic,0.993806511,0.895224234,stochastic,stochastic
89,cubicMap,75,0,nonlinear_periodic,0.980500416,0.792502472,stochastic,periodic
90,cubicMap,75,0.001,nonlinear_periodic,0.983663996,0.814660517,stochastic,periodic
91,cubicMap,75,0.01,nonlinear_periodic,0.980240618,0.987841594,stochastic,periodic
92,cubicMap,75,1,nonlinear_periodic,0.987463316,0.957899428,stochastic,stochastic
93,cubicMap,100,0,nonlinear_periodic,0.977627641,0.848888813,stochastic,periodic
94,cubicMap,100,0.001,nonlinear_periodic,0.974747111,0.83147477,stochastic,periodic
95,cubicMap,100,0.01,nonlinear_periodic,0.968442193,0.970089201,stochastic,periodic
96,cubicMap,100,1,nonlinear_periodic,0.978819246,0.827270156,stochastic,periodic
97,cubicMap,250,0,nonlinear_periodic,0.971643515,0.95358594,stochastic,periodic
98,cubicMap,250,0.001,nonlinear_periodic,0.914487334,0.915924192,stochastic,periodic
99,cubicMap,250,0.01,nonlinear_periodic,0.960826152,0.906082547,stochastic,periodic
100,cubicMap,250,1,nonlinear_periodic,0.971970892,0.955597837,stochastic,periodic
101,poincareOscillator,25,0,nonlinear_periodic,1,1,deterministic,stochastic
102,poincareOscillator,25,0.001,nonlinear_periodic,1,1,deterministic,stochastic
103,poincareOscillator,25,0.01,nonlinear_periodic,1,1,stochastic,periodic
104,poincareOscillator,25,1,nonlinear_periodic,1,1,stochastic,stochastic
105,poincareOscillator,50,0,nonlinear_periodic,0.468723376,1,deterministic,periodic
106,poincareOscillator,50,0.001,nonlinear_periodic,0.464809545,1,deterministic,periodic
107,poincareOscillator,50,0.01,nonlinear_periodic,0.481003193,1,deterministic,chaotic
108,poincareOscillator,50,1,nonlinear_periodic,0.445328619,1,deterministic,periodic
109,poincareOscillator,75,0,nonlinear_periodic,0.287034962,1,deterministic,chaotic
110,poincareOscillator,75,0.001,nonlinear_periodic,0.280454536,1,NA,chaotic
111,poincareOscillator,75,0.01,nonlinear_periodic,0.285722524,1,NA,chaotic
112,poincareOscillator,75,1,nonlinear_periodic,0.234296799,1,deterministic,periodic
113,poincareOscillator,100,0,nonlinear_periodic,0.160199378,1,deterministic,periodic
114,poincareOscillator,100,0.001,nonlinear_periodic,0.143906689,1,deterministic,periodic
115,poincareOscillator,100,0.01,nonlinear_periodic,0.193741909,1,deterministic,periodic
116,poincareOscillator,100,1,nonlinear_periodic,0.161731342,1,deterministic,periodic
117,poincareOscillator,250,0,nonlinear_periodic,0.06774109,NA,deterministic,periodic
118,poincareOscillator,250,0.001,nonlinear_periodic,0.064072202,NA,deterministic,periodic
119,poincareOscillator,250,0.01,nonlinear_periodic,0.05719354,NA,deterministic,periodic
120,poincareOscillator,250,1,nonlinear_periodic,0.068576891,NA,deterministic,periodic
